name,roof_area_m2,potential_kwh_yr,geometry_wkt,installation_cost_eur,selected
OBI,16186.726902545855,2848863.934848071,"POLYGON ((11.42558 47.267273, 11.425816 47.267208, 11.426217 47.267099, 11.426286 47.267222, 11.426356 47.267187, 11.426325 47.267163, 11.426532 47.267057, 11.426739 47.266951, 11.426807 47.267008, 11.427178 47.266815, 11.427282 47.266762, 11.427409 47.266939, 11.427423 47.266953, 11.427468 47.266927, 11.427578 47.267022, 11.427529 47.267047, 11.427686 47.267186, 11.427708 47.267206, 11.426826 47.267637, 11.426589 47.267404, 11.425794 47.267599, 11.425751 47.267526, 11.425737 47.267529, 11.42558 47.267273))",2478009.0353818783,1
Pädagogische Hochschule,15461.02974866034,2721141.2357642204,"POLYGON ((11.395577 47.253472, 11.395849 47.253439, 11.395887 47.253586, 11.396148 47.253555, 11.395908 47.252629, 11.395545 47.252672, 11.39564 47.253039, 11.395495 47.253056, 11.395457 47.252909, 11.394586 47.253013, 11.39463 47.253184, 11.394731 47.253573, 11.395577 47.253472), (11.39499 47.2532, 11.395313 47.253162, 11.39535 47.253308, 11.395027 47.253346, 11.39499 47.2532))",2369154.4622990508,1
HTL Bau und Design,13747.434637219329,2419548.496150602,"POLYGON ((11.376316 47.260219, 11.376278 47.26025, 11.375908 47.260545, 11.375812 47.260621, 11.376083 47.260777, 11.376551 47.260403, 11.376691 47.260292, 11.376719 47.260308, 11.376772 47.260339, 11.376757 47.260351, 11.376798 47.260374, 11.376806 47.260368, 11.376813 47.260362, 11.376871 47.260396, 11.377298 47.260055, 11.377305 47.260059, 11.377313 47.260063, 11.377411 47.259985, 11.3774 47.259979, 11.37739 47.259973, 11.377583 47.25982, 11.377148 47.259567, 11.376783 47.259857, 11.376713 47.259817, 11.376601 47.259906, 11.376516 47.259856, 11.376231 47.260083, 11.37618 47.260053, 11.376149 47.260078, 11.376137 47.2601, 11.376152 47.260125, 11.376316 47.260219))",2112115.1955828993,1
Kaufhaus Tyrol,13624.79219930698,2397963.4270780287,"POLYGON ((11.394456 47.265511, 11.394532 47.265419, 11.394544 47.265347, 11.39459 47.265262, 11.394634 47.265176, 11.394912 47.265239, 11.395007 47.265259, 11.395049 47.265132, 11.39558 47.265219, 11.395723 47.265225, 11.395748 47.265155, 11.395902 47.265174, 11.39586 47.265472, 11.39582 47.265758, 11.395636 47.265737, 11.395632 47.265713, 11.395474 47.265693, 11.395413 47.265873, 11.394926 47.265787, 11.394616 47.265736, 11.394695 47.265558, 11.394456 47.265511))",2093718.829896047,1
Viktor-Franz-Hess-Haus,13246.884164288123,2331451.6129147103,"POLYGON ((11.341868 47.264719, 11.342088 47.264717, 11.342284 47.264714, 11.34228 47.264376, 11.342346 47.264376, 11.34235 47.264659, 11.342696 47.264658, 11.342696 47.264375, 11.34276 47.264376, 11.342768 47.264779, 11.343186 47.264775, 11.343177 47.264372, 11.343172 47.26435, 11.343172 47.264338, 11.343272 47.264397, 11.343388 47.264396, 11.343464 47.264342, 11.343464 47.264309, 11.343464 47.264248, 11.343386 47.264192, 11.343365 47.264192, 11.343268 47.264192, 11.343182 47.264255, 11.343167 47.264242, 11.343167 47.264218, 11.343165 47.264193, 11.343165 47.264187, 11.343164 47.264133, 11.343113 47.264097, 11.343035 47.264098, 11.34299 47.264135, 11.342933 47.264134, 11.342878 47.264099, 11.342806 47.2641, 11.342758 47.264135, 11.342758 47.264172, 11.342758 47.264186, 11.342759 47.264227, 11.342694 47.264226, 11.342693 47.264173, 11.34269 47.26408, 11.342514 47.264083, 11.342343 47.264083, 11.342344 47.264176, 11.342345 47.264298, 11.34227 47.264299, 11.34227 47.264262, 11.342269 47.264204, 11.342243 47.264188, 11.342216 47.264172, 11.342157 47.264172, 11.342128 47.264172, 11.342085 47.2642, 11.342088 47.264268, 11.341864 47.264422, 11.341868 47.264719))",2037032.6246432185,1
Druckerei Tiroler Tageszeitung,13108.641200026295,2307120.851204628,"POLYGON ((11.412187 47.275492, 11.411752 47.275785, 11.411817 47.275829, 11.411774 47.275858, 11.411963 47.275987, 11.411978 47.275977, 11.412414 47.276279, 11.412518 47.276214, 11.412492 47.276197, 11.412672 47.276075, 11.412842 47.27619, 11.413061 47.276043, 11.41302 47.276014, 11.413214 47.275883, 11.41316 47.275847, 11.413166 47.27576, 11.412961 47.27562, 11.412841 47.275611, 11.412815 47.275593, 11.412692 47.275509, 11.412756 47.275466, 11.412638 47.275385, 11.412429 47.275526, 11.412405 47.27551, 11.412396 47.275504, 11.4123 47.275569, 11.412187 47.275492))",2016296.1800039443,1
,12975.028690216735,2283605.049478146,"POLYGON ((11.43171 47.271925, 11.432286 47.271852, 11.432259 47.271756, 11.43248 47.271729, 11.432406 47.27146, 11.432208 47.271485, 11.432088 47.271047, 11.432423 47.271004, 11.432348 47.270731, 11.432008 47.270774, 11.431984 47.270688, 11.431385 47.270763, 11.431411 47.270858, 11.431609 47.270833, 11.43168 47.271093, 11.431486 47.271117, 11.431513 47.271216, 11.431711 47.27119, 11.431782 47.271448, 11.43159 47.271472, 11.431616 47.271569, 11.43181 47.271545, 11.431881 47.271802, 11.431684 47.271827, 11.43171 47.271925))",1996254.3035325103,1
,12951.69315928276,2279497.9960337654,"POLYGON ((11.374905 47.260134, 11.374898 47.260139, 11.374954 47.260172, 11.375082 47.260246, 11.375396 47.260429, 11.376473 47.259572, 11.375986 47.259488, 11.37582 47.259459, 11.375761 47.259506, 11.375711 47.259499, 11.375215 47.259888, 11.375198 47.259902, 11.37495 47.259848, 11.374834 47.260093, 11.374905 47.260134))",1992753.973892414,1
,12860.267977127707,2263407.1639744765,"POLYGON ((11.435819 47.26413, 11.435797 47.26463, 11.436066 47.264658, 11.436369 47.264682, 11.437132 47.264717, 11.436738 47.26411, 11.436626 47.264031, 11.436469 47.263986, 11.436287 47.263986, 11.435819 47.26413))",1979040.1965691561,1
,12837.35757536783,2259374.9332647384,"POLYGON ((11.391244 47.254189, 11.393615 47.254176, 11.393602 47.253872, 11.391236 47.2539, 11.391244 47.254189))",1975603.6363051746,1
