name,roof_area_m2,potential_kwh_yr,geometry_wkt
,4466.796735902567,786156.2255188518,"POLYGON ((11.399535 47.261935, 11.399502 47.26194, 11.399813 47.26302, 11.39982 47.263046, 11.399996 47.263023, 11.400035 47.263018, 11.400013 47.262944, 11.399976 47.262814, 11.399716 47.261911, 11.399535 47.261935), (11.399965 47.262898, 11.399982 47.262957, 11.399954 47.262961, 11.399936 47.262902, 11.399965 47.262898))"
Medizinzentrum Anichstraße,9445.015892254818,1662322.7970368483,"POLYGON ((11.387034 47.2634, 11.387291 47.263435, 11.387866 47.263512, 11.388182 47.263555, 11.388265 47.263271, 11.388288 47.263193, 11.388307 47.263128, 11.387419 47.263008, 11.387428 47.262977, 11.387438 47.262945, 11.38736 47.262934, 11.387246 47.262919, 11.387127 47.262903, 11.387072 47.262895, 11.387062 47.26293, 11.387052 47.262966, 11.386976 47.262955, 11.386853 47.263376, 11.386899 47.263382, 11.387034 47.2634), (11.387112 47.2633, 11.387154 47.263161, 11.38739 47.263197, 11.38735 47.263331, 11.387112 47.2633), (11.387568 47.263358, 11.387606 47.263225, 11.388055 47.263284, 11.388017 47.263417, 11.387568 47.263358))"
Frauen- und Kopfklinik,11033.378159039608,1941874.5559909714,"POLYGON ((11.387118 47.262412, 11.387082 47.262409, 11.387068 47.262475, 11.387102 47.262478, 11.38709 47.262519, 11.387073 47.262578, 11.387056 47.262637, 11.38704 47.26269, 11.387009 47.262687, 11.386994 47.262751, 11.387024 47.262755, 11.386991 47.262866, 11.387002 47.262877, 11.38701 47.262886, 11.387072 47.262895, 11.387127 47.262903, 11.387246 47.262919, 11.38736 47.262934, 11.387438 47.262945, 11.387565 47.262959, 11.387684 47.262976, 11.387907 47.263006, 11.387993 47.263019, 11.388012 47.263015, 11.388023 47.263005, 11.388056 47.262888, 11.388076 47.26289, 11.388092 47.262832, 11.388072 47.26283, 11.388081 47.262798, 11.38812 47.262657, 11.388133 47.26261, 11.388156 47.262613, 11.388174 47.262556, 11.38815 47.262552, 11.388176 47.262461, 11.388178 47.26244, 11.388162 47.26243, 11.38811 47.262423, 11.387873 47.262391, 11.387723 47.262372, 11.387608 47.262358, 11.387524 47.262347, 11.387308 47.262319, 11.387178 47.262302, 11.387152 47.262299, 11.387146 47.262321, 11.387118 47.262412), (11.387463 47.262676, 11.387234 47.262647, 11.387252 47.262582, 11.387481 47.262612, 11.387463 47.262676), (11.387918 47.262735, 11.387688 47.262704, 11.387706 47.262642, 11.387937 47.262673, 11.387918 47.262735))"
Wohnheim Olympisches Dorf,6206.759144995585,1092389.6095192232,"POLYGON ((11.440132 47.271623, 11.440052 47.271502, 11.440368 47.270997, 11.440265 47.270957, 11.440164 47.270918, 11.439956 47.27106, 11.439544 47.271341, 11.439874 47.271588, 11.439937 47.271682, 11.440236 47.272127, 11.440429 47.272069, 11.440132 47.271623), (11.439785 47.271306, 11.440055 47.271123, 11.440125 47.271167, 11.439953 47.271438, 11.439785 47.271306))"
Katholisch-Theologische Fakultät,4948.695907439895,870970.4797094215,"POLYGON ((11.397443 47.268659, 11.396694 47.268553, 11.396733 47.26839, 11.396286 47.26833, 11.396236 47.268323, 11.39607 47.268301, 11.396075 47.268399, 11.396105 47.268403, 11.396087 47.268611, 11.39641 47.268657, 11.397099 47.268755, 11.397404 47.268799, 11.397443 47.268659), (11.39625 47.268431, 11.396511 47.268465, 11.396485 47.268561, 11.396224 47.268527, 11.39625 47.268431))"
Karmel St. Josef und St. Teresa,2970.4003543630242,522790.46236789227,"POLYGON ((11.413782 47.289713, 11.413763 47.289807, 11.413901 47.28982, 11.413859 47.290029, 11.414651 47.290103, 11.414664 47.290037, 11.414263 47.289997, 11.414271 47.289958, 11.41428 47.289918, 11.414309 47.289921, 11.414399 47.289929, 11.41441 47.289876, 11.414434 47.289878, 11.414441 47.289842, 11.414414 47.28984, 11.414428 47.289773, 11.413782 47.289713), (11.414075 47.289832, 11.414237 47.289847, 11.414214 47.289961, 11.414052 47.289946, 11.414075 47.289832))"
,623.0141054607235,109650.48256108734,"POLYGON ((11.415022 47.294554, 11.415 47.29459, 11.415022 47.294596, 11.415043 47.29456, 11.415082 47.294571, 11.415058 47.29461, 11.415077 47.294615, 11.415126 47.294534, 11.415202 47.294409, 11.41519 47.294406, 11.415155 47.294463, 11.415109 47.294451, 11.415132 47.294412, 11.415118 47.294408, 11.415094 47.294448, 11.415046 47.294435, 11.415071 47.294393, 11.415054 47.294388, 11.415028 47.294432, 11.414982 47.294419, 11.415008 47.294377, 11.414991 47.294372, 11.414965 47.294414, 11.41492 47.294402, 11.414958 47.294339, 11.414933 47.294332, 11.414855 47.294461, 11.414801 47.29455, 11.414818 47.294555, 11.414848 47.294507, 11.414897 47.29452, 11.414883 47.294544, 11.414901 47.294549, 11.414917 47.294523, 11.414957 47.294535, 11.414942 47.29456, 11.414963 47.294566, 11.414978 47.294541, 11.415022 47.294554), (11.414913 47.294415, 11.414952 47.294426, 11.414931 47.294459, 11.414892 47.294448, 11.414913 47.294415), (11.415018 47.294445, 11.414995 47.294479, 11.414951 47.294466, 11.414973 47.294431, 11.415018 47.294445), (11.414887 47.294463, 11.414921 47.294472, 11.414915 47.294482, 11.414881 47.294473, 11.414887 47.294463), (11.415039 47.294451, 11.415081 47.294464, 11.415059 47.294497, 11.415017 47.294485, 11.415039 47.294451), (11.414944 47.294479, 11.414985 47.294491, 11.414979 47.294501, 11.414937 47.29449, 11.414944 47.294479), (11.41508 47.2945, 11.415098 47.29447, 11.415142 47.294482, 11.415124 47.294512, 11.41508 47.2945), (11.415011 47.294495, 11.415051 47.294506, 11.415045 47.294517, 11.415005 47.294507, 11.415011 47.294495), (11.415074 47.294512, 11.415114 47.294523, 11.415107 47.294535, 11.415067 47.294524, 11.415074 47.294512))"
,2016.7137038644619,354941.6118801453,"POLYGON ((11.32774 47.265203, 11.327738 47.265228, 11.327722 47.265406, 11.327718 47.26545, 11.328302 47.265473, 11.328306 47.265421, 11.328323 47.265226, 11.32774 47.265203), (11.327776 47.265228, 11.328112 47.265241, 11.328103 47.265343, 11.327769 47.265327, 11.327776 47.265228))"
,912.3640114802186,160576.06602051848,"POLYGON ((11.35032 47.269987, 11.350321 47.270125, 11.350378 47.270125, 11.350378 47.27015, 11.350636 47.27015, 11.350634 47.269986, 11.35032 47.269987))"
,1709.710089519304,300908.9757553975,"POLYGON ((11.427591 47.270912, 11.42721 47.270974, 11.427323 47.271293, 11.427704 47.271231, 11.427591 47.270912), (11.427394 47.271029, 11.427606 47.270994, 11.427661 47.271149, 11.427448 47.271184, 11.427394 47.271029))"
,457.8988431575042,80590.19639572075,"POLYGON ((11.393307 47.256978, 11.393295 47.257123, 11.393441 47.257129, 11.393462 47.25713, 11.393476 47.256978, 11.393383 47.256975, 11.393382 47.256981, 11.393307 47.256978))"
,437.10589227855024,76930.63704102485,"POLYGON ((11.393441 47.257129, 11.393295 47.257123, 11.393288 47.25717, 11.393431 47.25728, 11.393504 47.257281, 11.393508 47.25718, 11.393477 47.257179, 11.393496 47.257166, 11.393494 47.257152, 11.393481 47.257142, 11.393457 47.257141, 11.39344 47.257148, 11.393441 47.257129))"
,352.0466367624758,61960.208070195746,"POLYGON ((11.391544 47.259835, 11.391712 47.259836, 11.391712 47.259746, 11.391712 47.259728, 11.391546 47.259728, 11.391539 47.259728, 11.391539 47.259744, 11.391538 47.259761, 11.391527 47.259761, 11.391521 47.259766, 11.391521 47.259792, 11.391528 47.259796, 11.391538 47.259796, 11.391538 47.259835, 11.391544 47.259835))"
,517.6031400896405,91098.15265577675,"POLYGON ((11.391544 47.259835, 11.391544 47.2599, 11.391523 47.2599, 11.391522 47.259936, 11.391544 47.259936, 11.391543 47.26, 11.39171 47.26, 11.391712 47.259836, 11.391544 47.259835))"
,2634.144521328423,463609.43575380254,"POLYGON ((11.383322 47.265773, 11.383013 47.265657, 11.382572 47.265735, 11.383219 47.266025, 11.383572 47.265867, 11.383322 47.265773), (11.382903 47.265803, 11.382926 47.26578, 11.383008 47.265818, 11.383073 47.265789, 11.383359 47.265884, 11.383326 47.265899, 11.383282 47.265884, 11.383179 47.265931, 11.382903 47.265803))"
,447.9883150263605,78845.94344463946,"POLYGON ((11.36477 47.25771, 11.3647 47.257886, 11.36483 47.25791, 11.364899 47.257735, 11.36477 47.25771))"
,2019.2846331730138,355394.09543845046,"POLYGON ((11.424403 47.271736, 11.424416 47.271822, 11.424712 47.27188, 11.42495 47.271735, 11.424871 47.271542, 11.424759 47.271563, 11.424684 47.27158, 11.424389 47.271644, 11.424403 47.271736), (11.424558 47.27167, 11.424679 47.271647, 11.424752 47.271633, 11.424742 47.271748, 11.424558 47.271742, 11.424558 47.27167))"
Chirurgie,26068.681918401046,4588088.017638585,"POLYGON ((11.385942 47.261142, 11.386048 47.26086, 11.386085 47.260763, 11.385757 47.260707, 11.385579 47.260676, 11.385544 47.260756, 11.385522 47.260807, 11.385306 47.260769, 11.385244 47.260947, 11.38515 47.260932, 11.385251 47.260661, 11.385369 47.260676, 11.385384 47.260642, 11.385579 47.260674, 11.385641 47.260526, 11.385333 47.260472, 11.38507 47.260426, 11.385024 47.260418, 11.384865 47.260406, 11.384687 47.260409, 11.384497 47.260439, 11.384269 47.260497, 11.384275 47.260516, 11.384224 47.260532, 11.384235 47.260563, 11.384378 47.260965, 11.384452 47.261105, 11.384381 47.261131, 11.384459 47.261342, 11.384534 47.261358, 11.384515 47.261378, 11.384589 47.261461, 11.384616 47.26149, 11.38459 47.261503, 11.384614 47.261525, 11.384684 47.261537, 11.384698 47.26153, 11.38479 47.261546, 11.384913 47.261567, 11.384961 47.261437, 11.385778 47.261578, 11.385942 47.261142), (11.385071 47.261143, 11.385688 47.261251, 11.38563 47.261403, 11.385014 47.261294, 11.385071 47.261143))"
,4329.228254017262,761944.1727070381,"POLYGON ((11.359154 47.265394, 11.359327 47.265365, 11.359384 47.265355, 11.359395 47.265353, 11.359389 47.265338, 11.359381 47.265317, 11.35952 47.265294, 11.359458 47.265126, 11.359417 47.265015, 11.359349 47.265026, 11.359339 47.264997, 11.359305 47.265003, 11.359303 47.265004, 11.359275 47.265008, 11.359267 47.264987, 11.359198 47.264998, 11.359191 47.264978, 11.359118 47.26499, 11.359126 47.265011, 11.359079 47.265018, 11.359062 47.265021, 11.359067 47.265034, 11.358829 47.265075, 11.358839 47.265102, 11.358785 47.265111, 11.358736 47.265119, 11.358767 47.265203, 11.358733 47.265209, 11.358811 47.265421, 11.35874 47.265433, 11.358753 47.265469, 11.358766 47.265506, 11.358928 47.265479, 11.358922 47.265462, 11.358976 47.265453, 11.359034 47.265444, 11.359115 47.26543, 11.359105 47.265402, 11.359154 47.265394), (11.359093 47.265357, 11.35904 47.265367, 11.358956 47.265138, 11.359027 47.265126, 11.359024 47.265118, 11.359087 47.265107, 11.359174 47.265341, 11.359131 47.265353, 11.359095 47.265364, 11.359093 47.265357))"
,4537.709381447055,798636.8511346817,"POLYGON ((11.393271 47.266334, 11.393292 47.266276, 11.392853 47.266206, 11.392733 47.266192, 11.392664 47.266185, 11.392416 47.266153, 11.392354 47.26642, 11.392321 47.266514, 11.392449 47.266533, 11.392487 47.266539, 11.392609 47.26656, 11.393229 47.266664, 11.393267 47.266558, 11.393008 47.266519, 11.393016 47.266492, 11.393077 47.266306, 11.393271 47.266334), (11.392864 47.266277, 11.392804 47.266463, 11.392796 47.266487, 11.392518 47.266445, 11.392523 47.266419, 11.39253 47.26639, 11.392627 47.2664, 11.392653 47.266247, 11.392864 47.266277))"
Headline,6956.5409478801,1224351.2068268978,"POLYGON ((11.400902 47.265082, 11.400922 47.265185, 11.401077 47.265556, 11.401171 47.266085, 11.401194 47.266089, 11.401204 47.266099, 11.401219 47.266106, 11.401238 47.266112, 11.401287 47.266124, 11.401318 47.266131, 11.401351 47.266136, 11.401367 47.266137, 11.401392 47.26614, 11.401438 47.266144, 11.401489 47.266147, 11.401545 47.266145, 11.401599 47.266142, 11.401639 47.266139, 11.401651 47.266135, 11.40166 47.266128, 11.401668 47.266119, 11.40167 47.266108, 11.401669 47.266091, 11.401665 47.266075, 11.401651 47.266029, 11.40162 47.265971, 11.401594 47.265934, 11.401565 47.2659, 11.401527 47.265865, 11.401428 47.265714, 11.401399 47.265636, 11.40136 47.265525, 11.401328 47.265402, 11.401172 47.264976, 11.401049 47.26499, 11.400894 47.265012, 11.400902 47.265082), (11.401204 47.265712, 11.401288 47.265704, 11.401381 47.265835, 11.401316 47.265874, 11.401241 47.265932, 11.401204 47.265712))"
,378.6370313415691,66640.11751611617,"POLYGON ((11.428158 47.258784, 11.428105 47.258862, 11.42816 47.258879, 11.428168 47.258868, 11.428234 47.258888, 11.428353 47.258712, 11.428277 47.258688, 11.428203 47.258798, 11.428158 47.258784))"
,3621.516407123433,637386.8876537243,"POLYGON ((11.428983 47.278144, 11.429191 47.278142, 11.429187 47.277967, 11.42927 47.277966, 11.42938 47.277965, 11.429384 47.278142, 11.42959 47.27814, 11.429589 47.278118, 11.429588 47.278068, 11.42958 47.277723, 11.429374 47.277725, 11.429181 47.277728, 11.428973 47.27773, 11.428983 47.278144), (11.429376 47.277789, 11.429379 47.27792, 11.429344 47.27792, 11.429343 47.277879, 11.42922 47.277881, 11.429221 47.27792, 11.429186 47.277921, 11.429183 47.277791, 11.429376 47.277789))"
